12740--10,14
12740--10A,6
12740--11,20
12740--12,21
12740--13,19
12740--14,16
12740--16,12
12740--17,32
12740--18,7
12740--19,23
12740--19-OF,1
12740--20,24
12740--21,29
12740--22,26
12740--23,26
12740--25,26
12740--26,21
12740--27,21
12740--27A,29
12740--27A<,5
12740--27B,34
12740--28,16
12740--29,24
12740--3,14
12740--30,39
12740--31,22
12740--35,12
12740--36,26
12740--37,25
12740--38,34
12740--39,65
12740--4,29
12740--40,18
12740--41,14
12740--45,14
12740--45-O<F<,2
12740--45-OF,7
12740--48,14
12740--49,10
12740--4-OF,4
12740--5,14
12740--50,10
12740--51,12
12740--52,12
12740--53,25
12740--53-OF,6
12740--54-55,10
12740--56,24
12740--57,9
12740--58,14
12740--59,6
12740--6,13
12740--60,10
12740--7,24
12740--8,17
12740--9,8
--14,8
--2,3
00157--1,3
00157--10,4
00157--11,4
00157--12,3
00157--13,2
00157--14,2
00157--15,3
00157--16,2
00157--17,2
00157--18,2
00157--19,3
00157--2,1
00157--20,3
00157--21,4
00157--22,1
00157--23,3
00157--24,4
00157--25,2
00157--26,2
00157--27,2
00157--29,1
00157--3,6
00157--31,3
00157--33-35,5
00157--37,2
00157--43,3
00157--45,4
00157--47,1
00157--5,3
00157--5A,4
00157--7,2
00157--8,2
00157--9,3
19831--1,35
19831--2,10
19831--21,10
19831--3,22
19831--3-OF,1
19831--4,34
19831--5,20
19831--5A,11
19831--5A<,1
19831--5A-OF,4
19831--5-OF,3
19831--6,32
19831--8,40
11932--100,30
11932--19,9
11932--20,3
11932--23,110
11932--28,188
11932--31,6
11932--31A,3
11932--32,10
11932--33,4
11932--34,6
11932--35,57
11932--37,125
11932--37A,78
11932--37B,69
11932--37C,99
11932--38,4
11932--40,117
11932--41,68
11932--42A,11
11932--43,4
11932--65,5
11932--65B,1
11932--65B<,2
11932--65C,1
11932--66,4
11932--66A,1
11932--66A<,2
11932--66B,2
11932--67,1
11932--67A,1
11932--67B,1
11932--68,1
11932--68A,3
11932--68B,1
11932--68C,2
11932--68D,2
11932--68E,3
11932--68G,7
11932--68H,1
11932--68I,4
11932--69,5
11932--70,6
11932--71,2
11932--74,94
11932--75,100
11932--76,429
11932--79,89
11932--80,277
11932--81,195
31139--15,4
31139--17,4
31139--19,5
31139--2,2
31139--23,2
31139--8,5
31139--9,5
21308--1,2
21308--3,5
21308--4,4
21308--5,5
21308--6,2
46046--1,6
46046--101,2
46046--103,1
46046--11,2
46046--15,6
46046--17,2
46046--19,1
46046--23,3
46046--25,7
46046--27,7
46046--29,6
46046--31,4
46046--33,4
46046--35,5
46046--39A,1
46046--41,1
46046--43,2
46046--45,5
46046--47,5
46046--5,8
46046--51,4
46046--53,4
46046--55,4
46046--57,2
46046--59,3
46046--61,4
46046--63,2
46046--65,3
46046--67,4
46046--69,3
46046--7,4
46046--73,1
46046--75,2
46046--77,5
46046--79,2
46046--7A,1
46046--81,5
46046--85,6
46046--87,2
46046--89,7
46046--9,4
46046--91,4
46046--93,4
46046--95,3
46046--97,2
46046--99,5
06289--1,70
06289--2,239
06289--3,93
06289--5,83
06289--7,142
38322--4,17
38322--5,24
38322--7,1
23275--1,7
23275--10,1
23275--11,2
23275--12,3
23275--13,2
23275--14,6
23275--16,5
23275--17,4
23275--19,1
23275--2,4
23275--3,4
23275--4,6
23275--5,4
23275--6,3
23275--7,4
23275--8,7
23275--9,3
32202--11,4
32202--13,3
32202--13A,4
32202--13B,2
32202--13B<,1
32202--13C,6
32202--3,4
32202--5,2
32202--5A,3
32202--7,1
32202--9,6
04971--1,1
04971--11,3
04971--13,2
04971--15,2
04971--3,3
04971--7,2
04971--9,4
00432--10,15
00432--11,7
00432--12,4
00432--13,18
00432--14,20
00432--17,10
00432--18,13
00432--19,34
00432--1A,17
00432--2,68
00432--20,7
00432--22,1
00432--24A,1
00432--26,1
00432--27,5
00432--28,4
00432--29,2
00432--30,15
00432--31,28
00432--31-OF,9
00432--32,8
00432--33,24
00432--34,26
00432--35,28
00432--36,11
00432--36-OF,5
00432--37,28
00432--38,7
00432--4,16
00432--5,21
00432--6,13
00432--7,23
00432--8,6
00432--9,18
06206--11,128
06206--12,108
06206--17,31
06206--17D,2
06206--17D<,4
06206--18A,34
06206--20,27
06206--20A,2
06206--20B,7
06206--20C,5
06206--21,6
06206--22,3
06206--23,4
06206--26,11
06206--27,10
06206--28,5
06206--29,16
06206--3,13
06206--30,4
06206--31,7
06206--32,10
06206--33,21
06206--3A,21
06206--4,19
06206--4A,27
06206--4A<,3
