-------------------------------------------------------------------------------------
SELECT ms_nazwa_miasta,ul_nazwa_ulicy,ul_sym_ul,ob_nr_domu,ob_nr_lokalu,ob_plec,count(*) FROM ewd_obywatele,ewd_miasta,ewd_ulice 
WHERE ob_status IN('S','C') AND 
ob_ms_kod_miasta=ms_kod_miasta AND ob_ul_kod_ulicy=ul_kod_ulicy GROUP BY ms_nazwa_miasta, ul_nazwa_ulicy, ul_sym_ul, ob_nr_domu,
ob_nr_lokalu,ob_plec 
ORDER BY ms_nazwa_miasta, ul_nazwa_ulicy, ul_sym_ul, ob_nr_domu,ob_nr_lokalu,ob_plec;
---------------------------------------------------------------------------------
"MS_NAZWA_MIASTA";"UL_NAZWA_ULICY";"UL_SYM_UL";"OB_NR_DOMU";"OB_NR_LOKALU";"OB_PLEC";"COUNT(*)"
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"10";"3";"M";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"10";"3";"¯";3
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"10";"4";"M";2
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"10";"4";"¯";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"10";"5";"¯";2
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"10";"5";"M";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"10";"6";"M";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"10";"6";"¯";3
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"10A";"";"M";2
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"10A";"";"¯";4
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"11";"2";"M";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"11";"2";"¯";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"11";"3";"M";4
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"11";"3";"¯";2
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"11";"3A";"¯";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"11";"3A";"M";2
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"11";"4";"M";3
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"11";"4";"¯";3
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"11";"5";"M";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"11";"5";"¯";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"11";"6";"¯";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"12";"1";"M";3
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"12";"1";"¯";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"12";"1A";"¯";3
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"12";"1A";"M";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"12";"2";"¯";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"12";"2";"M";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"12";"3";"M";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"12";"3A";"M";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"12";"3A";"¯";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"12";"4";"M";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"12";"4";"¯";2
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"12";"5";"¯";2
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"12";"7";"M";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"12";"8";"M";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"12";"8";"¯";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"13";"1";"M";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"13";"2";"M";4
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"13";"2";"¯";2
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"13";"2A";"¯";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"13";"2A";"M";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"13";"3";"M";2
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"13";"3";"¯";4
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"13";"3A";"M";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"13";"4";"¯";1
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"13";"4";"M";2
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"14";"1";"M";1
