
-------------------------------------------------------------------------------------
SELECT ms_nazwa_miasta,ul_nazwa_ulicy,ul_sym_ul,ob_nr_domu,ob_plec,count(*) FROM ewd_obywatele,ewd_miasta,ewd_ulice 
WHERE ob_status IN('S','C') AND 
ob_ms_kod_miasta=ms_kod_miasta AND ob_ul_kod_ulicy=ul_kod_ulicy GROUP BY ms_nazwa_miasta, ul_nazwa_ulicy, ul_sym_ul, ob_nr_domu, ob_plec 
ORDER BY ms_nazwa_miasta, ul_nazwa_ulicy, ul_sym_ul, ob_nr_domu, ob_plec;
---------------------------------------------------------------------------------

"MS_NAZWA_MIASTA";"UL_NAZWA_ULICY";"UL_SYM_UL";"OB_NR_DOMU";"OB_PLEC";"COUNT(*)"
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"10";"M";5
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"10";"¯";9
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"10A";"M";2
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"10A";"¯";4
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"11";"M";11
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"11";"¯";9
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"12";"M";10
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"12";"¯";11
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"13";"M";11
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"13";"¯";8
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"14";"M";6
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"14";"¯";10
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"16";"M";5
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"16";"¯";7
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"17";"M";16
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"17";"¯";16
"S£UPSK";"ADAMA MICKIEWICZA";"12740";"18";"M";2
