fid,mslink,miejscowosc,kod,poczta,przedr,przedrostek,ulica,ulica_pelna,nr_adr,nr_adr2,dzialka_id,budynek_id,kat,just,teryt_numer,field_2
57,48994,Słupsk,76-200,Słupsk,ul.,ulica,Kilińskiego,Jana Kilińskiego,16,,,,197,uc,08435--16,17
59,49190,Słupsk,76-200,Słupsk,ul.,ulica,Długosza,Jana Długosza,24,,,,16,uc,03851--24,1
60,49208,Słupsk,76-200,Słupsk,ul.,ulica,Podgórna,Podgórna,2B,,,,192,uc,16742--2B,23
62,49226,Słupsk,76-200,Słupsk,ul.,ulica,Podgórna,Podgórna,2A,,,,194,uc,16742--2A,15
63,49419,Słupsk,76-200,Słupsk,ul.,ulica,Tuwima,Juliana Tuwima,20A,,,,13,uc,23196--20A,52
65,49479,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,27,,,,18,uc,00432--27,5
66,49502,Słupsk,76-200,Słupsk,ul.,ulica,Krasińskiego,Zygmunta Krasińskiego,7,,,,357,uc,09848--7,8
67,49520,Słupsk,76-200,Słupsk,ul.,ulica,Wileńska,Wileńska,22,,,,86,uc,24289--22,16
68,49528,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,26,,,,17,uc,00432--26,1
70,50731,Słupsk,76-200,Słupsk,ul.,ulica,Słowiańska,Słowiańska,10,,,,109,uc,20294--10,4
71,50925,Słupsk,76-200,Słupsk,ul.,ulica,Krasińskiego,Zygmunta Krasińskiego,21,,,,214,uc,09848--21,37
73,51261,Słupsk,76-200,Słupsk,ul.,ulica,Krasińskiego,Zygmunta Krasińskiego,5,,,,43,uc,09848--5,2
76,51581,Słupsk,76-200,Słupsk,ul.,ulica,Kilińskiego,Jana Kilińskiego,26,,,,17,uc,08435--26,5
78,51796,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,30,,,,15,uc,00432--30,15
79,51965,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,38,,,,15,uc,00432--38,7
94,56019,Słupsk,76-200,Słupsk,ul.,ulica,Towarowa,Towarowa,9,,,,354,uc,22907--9,12
146,60429,Słupsk,76-200,Słupsk,ul.,ulica,Gdańska,Gdańska,6,,,,191,uc,05431--6,8
147,60465,Słupsk,76-200,Słupsk,ul.,ulica,Długa,Długa,10,,,,103,uc,03839--10,6
149,60573,Słupsk,76-200,Słupsk,ul.,ulica,Szymanowskiego,Karola Szymanowskiego,4,,,,314,uc,22238--4,1
